 gemir ( VERB_INFINITIVE VERB ) 
 garbo ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`garbo`garbar` NC  VLfin 
 gardenia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garganta ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garra ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`garra`garrar|garrir` NC  VLfin 
 garrafa ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garrapata ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garras ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`garra`garrar|garrir` NC  VLfin 
 garrido ( ADJECTIVE ADJECTIVE_NORMAL ) 
 garrocha ( VERB ) lemma=garrochar 
 garrochar ( ) 
 garrote ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 garza ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gasa ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gaseados ( VERB_PAST_PARTICIPLE VERB ) lemma=gasear 
 gasear ( ) 
 gaseosa ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=`gaseoso`gaseosa` ADJ  NC 
 gaseoso ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gaseosos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gaseoso 
 gasificadores ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gasificador 
 gasificador ( ) 
 gasoducto ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gasolina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gasolinera ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastar ( VERB_INFINITIVE VERB ) 
 gastad ( VERB ) lemma=gastar 
 gastadá ( VERB_PAST_PARTICIPLE VERB ) lemma=gastar 
 gastadás ( VERB_PAST_PARTICIPLE VERB ) lemma=gastar 
 gastados ( VERB_PAST_PARTICIPLE VERB ) lemma=gastar 
 gastando ( NOUN NOUN_GERUND ) lemma=gastar 
 gastarla (                 VERB ) lemma=gastar 
 gastarle (                 VERB ) lemma=gastar 
 gastarlo (                 VERB ) lemma=gastar 
 gastarlos (                 VERB ) lemma=gastar 
 gastarme (                 VERB ) lemma=gastar 
 gastarse ( VERB_INFINITIVE VERB ) 
 gastarte (                 VERB ) lemma=gastar 
 gastase ( VERB ) lemma=gastar 
 gastemos ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_I PRONOUN_PLURAL ) lemma=gastar 
 gasten ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_I PRONOUN_PLURAL ) lemma=gastar 
 gastes ( VERB ) lemma=gastar 
 gasto ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gasto`gastar` NC  VLfin 
 gastritis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastroduodenal ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gastroenteritis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastroenterología ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastroenterólogo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastroesofágico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gastroesplénico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gastrointestinal ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gastrointestinales ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gastrointestinal 
 gastronomía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastronómica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gastronómico 
 gastronómico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gastronómicos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gastronómico 
 gastropatía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastrulación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gastándose ( VERB_PAST_PARTICIPLE VERB ) lemma=gastar 
 gastás ( VERB ) lemma=gastar 
 gastéis ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_YOU PRONOUN_PLURAL ) lemma=gastar 
 gasóleo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gata ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gato 
 gato ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gatas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gato 
 gateway ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gatillo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gato 
 gatito ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gato 
 gatitos ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gato 
 gatt ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gauchada ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gaussiana ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gaussiano 
 gaussiano ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gavetero ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gaviotas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gaviota 
 gaviota ( ) 
 gay ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gay 
 gazpacho ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gel ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gelatina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gelatinosa ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gelatinoso 
 gelatinoso ( ) 
 gelatinosas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gelatinoso 
 gemación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gemela ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gemelo 
 gemelo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gemelas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gemelo 
 gen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gendarme ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genealogía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genealógico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genealógicos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genealógico 
 generar ( VERB_INFINITIVE VERB ) 
 generacional ( ADJECTIVE ADJECTIVE_NORMAL ) 
 generaciones ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=generación 
 generación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generada ( VERB_PAST_PARTICIPLE VERB ) lemma=generar 
 generadas ( VERB_PAST_PARTICIPLE VERB ) lemma=generar 
 generador ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generadora ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generador 
 generadoras ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generador 
 generadores ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=generador 
 generados ( VERB_PAST_PARTICIPLE VERB ) lemma=generar 
 general ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=general 
 generales ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=general 
 generalice ( VERB_PRESENT PRONOUN_SUBJECT VERB PRONOUN_I PRONOUN_SINGULAR ) lemma=generalizar 
 generalizar ( VERB_INFINITIVE VERB ) 
 generalidad ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generalista ( ADJECTIVE ADJECTIVE_NORMAL ) 
 generalistas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generalista 
 generalizaciones ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=generalización 
 generalización ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generalizada ( VERB_PAST_PARTICIPLE VERB ADJECTIVE ADJECTIVE_NORMAL ) lemma=`generalizado`generalizar` ADJ  VLadj 
 generalizadas ( VERB_PAST_PARTICIPLE VERB ) lemma=generalizar 
 generalizados ( VERB_PAST_PARTICIPLE VERB ) lemma=generalizar 
 generalizando ( NOUN NOUN_GERUND ) lemma=generalizar 
 generalizarse ( VERB_INFINITIVE VERB ) 
 generalizase ( VERB ) lemma=generalizar 
 generalmente ( ADVERB ) lemma=general|generalmente 
 general|generalmente ( ) 
 generalísimo ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=`general`generalísimo` ADJ  NC 
 generando ( NOUN NOUN_GERUND ) lemma=generar 
 generarse ( VERB_INFINITIVE VERB ) 
 generase ( VERB ) lemma=generar 
 generativos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generativo 
 generativo ( ) 
 generatriz ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generemos ( VERB ) lemma=generar 
 generen ( VERB ) lemma=generar 
 generosa ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generoso 
 generoso ( ADJECTIVE ADJECTIVE_NORMAL ) 
 generosamente ( ADVERB ) lemma=generoso 
 generosas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generoso 
 generosidad ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 generosos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generoso 
 generosísima ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generoso 
 generosísimas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=generoso 
 genes ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gen|genes 
 gen|genes ( ) 
 geneterplus ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genetista ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genetistas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genetista 
 genial ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geniales ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genial 
 genialmente ( ADVERB ) lemma=genial 
 genio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genital ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genitales ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=genital 
 genitorrectal ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genitourinario ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genocidio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genoma ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genoteca ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genotipo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 genotípico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genovesa ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=genovés 
 genovés ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=genovés 
 gente ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gentil ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gentileza ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gentilmente ( ADVERB ) lemma=gentil 
 genuina ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genuino 
 genuino ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genuinamente ( ADVERB ) lemma=genuino 
 genuinas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genuino 
 genuinos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genuino 
 genérica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genérico 
 genérico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genéricamente ( ADVERB ) lemma=genérico 
 genéricas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genérico 
 genéricos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genérico 
 genética ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=`genético`genética` ADJ  NC 
 genéticamente ( ADVERB ) lemma=genético 
 genético ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genéticas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genético 
 genético-poblacional ( ADJECTIVE ADJECTIVE_NORMAL ) 
 genéticos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=genético 
 genómico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geocronología ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geoestacionaria ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geoestacionario 
 geoestacionario ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geoestacionarios ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geoestacionario 
 geografía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geográfica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geográfico 
 geográfico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geográficamente ( ADVERB ) lemma=geográfico 
 geográficas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geográfico 
 geográficos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geográfico 
 geología ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geológica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geológico 
 geológico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geológicas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geológico 
 geológicos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geológico 
 geometría ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geomorfología ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geométrica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geométrico 
 geométrico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geométricamente ( ADVERB ) 
 geométricas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geométrico 
 geométricos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geométrico 
 geopolítica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geopolítico 
 geopolítico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geopolíticamente ( ADVERB ) lemma=geopolítico 
 geopolíticas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geopolítico 
 geopolíticos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geopolítico 
 geopotencial ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geopresurizar ( VERB_PAST_PARTICIPLE VERB_INFINITIVE VERB ) 
 georgiana ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=georgiano 
 georgiano ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=georgiano 
 georgianas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=georgiano 
 georgianos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=georgiano 
 geotermico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 geotérmica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geotérmico 
 geotérmico ( ) 
 geotérmicas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geotérmico 
 geotérmicos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geotérmico 
 geranio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gerencia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gerente ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geriatra ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geriatría ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 geriátrica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=geriátrico 
 geriátrico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 germana ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=germano 
 germano ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=germano 
 germanas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=germano 
 germanos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=germano 
 germen ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 germinación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 germinado ( VERB_PAST_PARTICIPLE VERB ) lemma=germinar 
 germinar ( ) 
 germinal ( ADJECTIVE ADJECTIVE_NORMAL ) 
 germinales ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=germinal 
 germánica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=germánico 
 germánico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 germánicas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=germánico 
 gerontogeriátrico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gerundense ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gerundio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gestar ( VERB_INFINITIVE VERB ) 
 gestacional ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gestaciones ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gestación 
 gestación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gestada ( VERB_PAST_PARTICIPLE VERB ) lemma=gestar 
 gestando ( NOUN NOUN_GERUND ) lemma=gestar 
 gestante ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gestantes ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gestante 
 gesten ( VERB ) lemma=gestar 
 gestionar ( VERB_INFINITIVE VERB ) 
 gestionada ( VERB_PAST_PARTICIPLE VERB ) lemma=gestionar 
 gestionadas ( VERB_PAST_PARTICIPLE VERB ) lemma=gestionar 
 gestionados ( VERB_PAST_PARTICIPLE VERB ) lemma=gestionar 
 gestionando ( NOUN NOUN_GERUND ) lemma=gestionar 
 gestionarla (                 VERB ) lemma=gestionar 
 gestionarlas (                 VERB ) lemma=gestionar 
 gestionarlo (                 VERB ) lemma=gestionar 
 gestionarlos (                 VERB ) lemma=gestionar 
 gestionase ( VERB ) lemma=gestionar 
 gestionemos ( VERB ) lemma=gestionar 
 gestionen ( VERB ) lemma=gestionar 
 gestiones ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gestión`gestionar` NC  VLfin 
 gestión ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gesto ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gesto`gestar` NC  VLfin 
 gestor ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gestora ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gestor 
 gestoras ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gestor 
 get ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gibas ( VERB ) lemma=gibar 
 gibar ( ) 
 gigante ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gigantes ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gigante 
 gigantesca ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gigantesco 
 gigantesco ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gigantescas ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gigantesco 
 gigantescos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=gigantesco 
 gil ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gilipollas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gimnasia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gimnasio ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gimnasta ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gimnástica ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ginebra ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ginebrina ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=ginebrino 
 ginebrino ( ) 
 ginecobstetricia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ginecología ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ginecológica ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=ginecológico 
 ginecológico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 ginecomastia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 ginecóloga ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=ginecólogo 
 ginecólogo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gira ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gira`girar` NC  VLfin 
 girar ( VERB_INFINITIVE VERB ) 
 girada ( VERB_PAST_PARTICIPLE VERB ) lemma=girar 
 giradas ( VERB_PAST_PARTICIPLE VERB ) lemma=girar 
 girando ( NOUN NOUN_GERUND ) lemma=girar 
 giras ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gira`girar` NC  VLfin 
 girasa ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 girasol ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 giratoria ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=giratorio 
 giratorio ( ADJECTIVE ADJECTIVE_NORMAL ) 
 giren ( VERB ) lemma=girar 
 giro ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`giro`girar` NC  VLfin 
 girona ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=gira 
 girás ( VERB ) lemma=girar 
 gitana ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gitano 
 gitano ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gitano 
 gitanas ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gitano 
 gitanos ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=gitano 
 glacial ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glaciar ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glande ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glandular ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glandulares ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glandular 
 glaucoma ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glenoidea ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glenoideo 
 glenoideo ( ) 
 gliales ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glial 
 glial ( ) 
 glicar ( VERB_PAST_PARTICIPLE VERB_INFINITIVE VERB ) 
 glicemia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gliceraldehído ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicerina ( VERB ) lemma=glicerinar 
 glicerinar ( ) 
 glicerofosfolípido ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicerol ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicerolfosfato ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicilalanina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gliclazida ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicofítico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glicolisis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicoproteínas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=glicoproteína 
 glicoproteína ( ) 
 glicosaminoglicano ( NOUN ADJECTIVE ADJECTIVE_NORMAL NOUN_SINGULAR NOUN_PLURAL ) lemma=glicosaminoglicano 
 glicosilación ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicosilada ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glicosilar ( VERB_PAST_PARTICIPLE VERB_INFINITIVE VERB ) 
 glicosídicos ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=glicósido 
 glicósido ( ) 
 glicémico ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glicógeno ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glioxilato ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 global ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=global 
 globales ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=global 
 globalización ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 globalizador ( ADJECTIVE ADJECTIVE_NORMAL ) 
 globalizadora ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=globalizador 
 globalmente ( ADVERB ) lemma=global 
 globina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 globitos ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=globo 
 globo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 globular ( ADJECTIVE ADJECTIVE_NORMAL ) 
 globulina ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glomerular ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glomerulares ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glomerular 
 glomerulopatía ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glomérulo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 gloria ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gloria`gloriar` NC  VLfin 
 glorias ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`gloria`gloriar` NC  VLfin 
 glorieta ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glorificara ( VERB ) lemma=glorificar 
 glorificar ( ) 
 glorio ( VERB ) lemma=gloriar 
 gloriar ( ) 
 gloriosa ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glorioso 
 glorioso ( ADJECTIVE ADJECTIVE_NORMAL ) 
 gloriosos ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glorioso 
 glosa ( NOUN VERB NOUN_SINGULAR NOUN_PLURAL ) lemma=`glosa`glosar` NC  VLfin 
 glosar ( VERB_INFINITIVE VERB ) 
 glositis ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glotones ( ADJECTIVE ADJECTIVE_NORMAL ) lemma=glotón 
 glotón ( ADJECTIVE ADJECTIVE_NORMAL ) 
 glucagon ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glucagón ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glucano ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glucemia ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 glucocorticoides ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=glucocorticoide 
 glucocorticoide ( ) 
 glucocálix ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
