 A ( ADVERB ) 
 abbrustoliscono ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolisse ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolisser ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolissero ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolissi ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolissimo ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustoliste ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolisti ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolita ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrustolire` VER:ppast  
 abbrustolite ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrustolire`abbrustolire` VER:fin  VER:ppast  
 abbrustoliti ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrustolire` VER:ppast  
 abbrustolito ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrustolire` VER:ppast  
 abbrustoliva ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivamo ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivan ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivano ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivate ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivi ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolivo ( VERB ) lemma=`abbrustolire` VER:fin  
 abbrustolì ( VERB ) lemma=`abbrustolire` VER:fin  
 abbruta ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutan ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutano ( VERB ) lemma=`abbrutire` VER:fin  
 abbrute ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutendo ( NOUN NOUN_GERUND ) lemma=`abbrutire` VER:geru  
 abbrutente ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbrutire` VER:ppre  
 abbrutenti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbrutire` VER:ppre  
 abbruti ( VERB ) lemma=`abbrutire` VER:fin  
 abbruti' ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiamo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiate ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutii ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutimmo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutir ( VERB_INFINITIVE VERB ) lemma=`abbrutire` VER:infi  
 abbrutira' ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirai ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiran ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiranno ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutire ( VERB_INFINITIVE VERB ) 
 abbrutirebbe ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirebber ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirebbero ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirei ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiremmo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiremo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutireste ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiresti ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirete ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiro' ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiron ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirono ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirà ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutirò ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutisse ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutisser ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutissero ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutissi ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutissimo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutiste ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutisti ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutita ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrutire` VER:ppast  
 abbrutite ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrutire`abbrutire` VER:fin  VER:ppast  
 abbrutiti ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrutire` VER:ppast  
 abbrutito ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbrutire` VER:ppast  
 abbrutiva ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivamo ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivan ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivano ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivate ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivi ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutivo ( VERB ) lemma=`abbrutire` VER:fin  
 abbruto ( VERB ) lemma=`abbrutire` VER:fin  
 abbruton ( VERB ) lemma=`abbrutire` VER:fin  
 abbrutono ( VERB ) lemma=`abbrutire` VER:fin  
 abbruttendo ( NOUN NOUN_GERUND ) lemma=`abbruttire` VER:geru  
 abbruttente ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbruttire` VER:ppre  
 abbruttenti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbruttire` VER:ppre  
 abbrutti' ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiamo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiate ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttii ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttimmo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttir ( VERB_INFINITIVE VERB ) lemma=`abbruttire` VER:infi  
 abbruttira' ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirai ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiran ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiranno ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttire ( VERB_INFINITIVE VERB ) 
 abbruttirebbe ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirebber ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirebbero ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirei ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiremmo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiremo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttireste ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiresti ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirete ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiro' ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiron ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirono ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirà ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttirò ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisca ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiscan ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiscano ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisce ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisci ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisco ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiscon ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiscono ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisse ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisser ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttissero ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttissi ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttissimo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttiste ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttisti ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttita ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbruttire` VER:ppast  
 abbruttite ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbruttire`abbruttire` VER:fin  VER:ppast  
 abbruttiti ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbruttire` VER:ppast  
 abbruttito ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbruttire` VER:ppast  
 abbruttiva ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivamo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivan ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivano ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivate ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivi ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttivo ( VERB ) lemma=`abbruttire` VER:fin  
 abbruttì ( VERB ) lemma=`abbruttire` VER:fin  
 abbrutì ( VERB ) lemma=`abbrutire` VER:fin  
 abbuffa ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffai ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffammo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffan ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffando ( NOUN NOUN_GERUND ) lemma=`abbuffare` VER:geru  
 abbuffano ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffar ( VERB_INFINITIVE VERB ) lemma=`abbuffare` VER:infi  
 abbuffare ( VERB_INFINITIVE VERB ) 
 abbuffaron ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffarono ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffarsi ( VERB_INFINITIVE VERB ) 
 abbuffasse ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffasser ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffassero ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffassi ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffassimo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffaste ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffasti ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffata ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) lemma=`abbuffata`abbuffare` NOUN  VER:ppast  
 abbuffate ( VERB_PAST_PARTICIPLE NOUN VERB NOUN_SINGULAR ) lemma=`abbuffata`abbuffare`abbuffare` NOUN  VER:fin  VER:ppast  
 abbuffati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuffare` VER:ppast  
 abbuffato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuffare` VER:ppast  
 abbuffava ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavamo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavan ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavano ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavate ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavi ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffavo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffera' ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferai ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferan ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferanno ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferebbe ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferebber ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferebbero ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferei ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferemmo ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferemo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffereste ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferesti ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferete ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffero' ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferà ( VERB ) lemma=`abbuffare` VER:fin  
 abbufferò ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffi ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffiamo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffiate ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffin ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffino ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffo ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffo' ( VERB ) lemma=`abbuffare` VER:fin  
 abbuffò ( VERB ) lemma=`abbuffare` VER:fin  
 abbui ( VERB ) lemma=`abbuiare` VER:fin  
 abbuia ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiai ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiammo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiamo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuian ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiando ( NOUN NOUN_GERUND ) lemma=`abbuiare` VER:geru  
 abbuiano ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbuiare` VER:ppre  
 abbuianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbuiare` VER:ppre  
 abbuiar ( VERB_INFINITIVE VERB ) lemma=`abbuiare` VER:infi  
 abbuiare ( VERB_INFINITIVE VERB ) 
 abbuiaron ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiarono ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiasse ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiasser ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiassero ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiassi ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiassimo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiaste ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiasti ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuiare` VER:ppast  
 abbuiate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuiare`abbuiare` VER:fin  VER:ppast  
 abbuiati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuiare` VER:ppast  
 abbuiato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuiare` VER:ppast  
 abbuiava ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavamo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavan ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavano ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavate ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavi ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiavo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiera' ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierai ( VERB ) lemma=`abbuiare` VER:fin  
 abbuieran ( VERB ) lemma=`abbuiare` VER:fin  
 abbuieranno ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierebbe ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierebber ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierebbero ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierei ( VERB ) lemma=`abbuiare` VER:fin  
 abbuieremmo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuieremo ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiereste ( VERB ) lemma=`abbuiare` VER:fin  
 abbuieresti ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierete ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiero' ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierà ( VERB ) lemma=`abbuiare` VER:fin  
 abbuierò ( VERB ) lemma=`abbuiare` VER:fin  
 abbuin ( VERB ) lemma=`abbuiare` VER:fin  
 abbuino ( VERB ) lemma=`abbuiare` VER:fin  
 abbuio ( VERB ) lemma=`abbuiare` VER:fin  
 abbuio' ( VERB ) lemma=`abbuiare` VER:fin  
 abbuiò ( VERB ) lemma=`abbuiare` VER:fin  
 abbuona ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonai ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonammo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonan ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonando ( NOUN NOUN_GERUND ) lemma=`abbuonare` VER:geru  
 abbuonano ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbuonare` VER:ppre  
 abbuonanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abbuonare` VER:ppre  
 abbuonar ( VERB_INFINITIVE VERB ) lemma=`abbuonare` VER:infi  
 abbuonare ( VERB_INFINITIVE VERB ) 
 abbuonaron ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonarono ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonasse ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonasser ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonassero ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonassi ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonassimo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonaste ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonasti ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuonare` VER:ppast  
 abbuonate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuonare`abbuonare` VER:fin  VER:ppast  
 abbuonati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuonare` VER:ppast  
 abbuonato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abbuonare` VER:ppast  
 abbuonava ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavamo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavan ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavano ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavate ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavi ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonavo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonera' ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerai ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoneran ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoneranno ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerebbe ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerebber ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerebbero ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerei ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoneremmo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoneremo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonereste ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoneresti ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerete ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonero' ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerà ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonerò ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoni ( NOUN VERB NOUN_SINGULAR ) lemma=`abbuono`abbuonare` NOUN  VER:fin  
 abbuoniamo ( VERB ) lemma=`abbuonare` VER:fin  
 abbuoniate ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonin ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonino ( VERB ) lemma=`abbuonare` VER:fin  
 abbuono ( NOUN VERB NOUN_SINGULAR ) lemma=`abbuono`abbuonare` NOUN  VER:fin  
 abbuono' ( VERB ) lemma=`abbuonare` VER:fin  
 abbuonò ( VERB ) lemma=`abbuonare` VER:fin  
 abburatta ( VERB ) lemma=`abburattare` VER:fin  
 abburattai ( VERB ) lemma=`abburattare` VER:fin  
 abburattammo ( VERB ) lemma=`abburattare` VER:fin  
 abburattan ( VERB ) lemma=`abburattare` VER:fin  
 abburattando ( NOUN NOUN_GERUND ) lemma=`abburattare` VER:geru  
 abburattandone ( NOUN NOUN_GERUND ) lemma=`abburattare` VER:geru:cli  
 abburattano ( VERB ) lemma=`abburattare` VER:fin  
 abburattante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abburattare` VER:ppre  
 abburattanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abburattare` VER:ppre  
 abburattar ( VERB_INFINITIVE VERB ) lemma=`abburattare` VER:infi  
 abburattare ( VERB_INFINITIVE VERB ) 
 abburattaron ( VERB ) lemma=`abburattare` VER:fin  
 abburattarono ( VERB ) lemma=`abburattare` VER:fin  
 abburattasse ( VERB ) lemma=`abburattare` VER:fin  
 abburattasser ( VERB ) lemma=`abburattare` VER:fin  
 abburattassero ( VERB ) lemma=`abburattare` VER:fin  
 abburattassi ( VERB ) lemma=`abburattare` VER:fin  
 abburattassimo ( VERB ) lemma=`abburattare` VER:fin  
 abburattaste ( VERB ) lemma=`abburattare` VER:fin  
 abburattasti ( VERB ) lemma=`abburattare` VER:fin  
 abburattata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abburattare` VER:ppast  
 abburattate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abburattare`abburattare` VER:fin  VER:ppast  
 abburattati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abburattare` VER:ppast  
 abburattato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abburattare` VER:ppast  
 abburattava ( VERB ) lemma=`abburattare` VER:fin  
 abburattavamo ( VERB ) lemma=`abburattare` VER:fin  
 abburattavan ( VERB ) lemma=`abburattare` VER:fin  
 abburattavano ( VERB ) lemma=`abburattare` VER:fin  
 abburattavate ( VERB ) lemma=`abburattare` VER:fin  
 abburattavi ( VERB ) lemma=`abburattare` VER:fin  
 abburattavo ( VERB ) lemma=`abburattare` VER:fin  
 abburattera' ( VERB ) lemma=`abburattare` VER:fin  
 abburatterai ( VERB ) lemma=`abburattare` VER:fin  
 abburatteran ( VERB ) lemma=`abburattare` VER:fin  
 abburatteranno ( VERB ) lemma=`abburattare` VER:fin  
 abburatterebbe ( VERB ) lemma=`abburattare` VER:fin  
 abburatterebber ( VERB ) lemma=`abburattare` VER:fin  
 abburatterebbero ( VERB ) lemma=`abburattare` VER:fin  
 abburatterei ( VERB ) lemma=`abburattare` VER:fin  
 abburatteremmo ( VERB ) lemma=`abburattare` VER:fin  
 abburatteremo ( VERB ) lemma=`abburattare` VER:fin  
 abburattereste ( VERB ) lemma=`abburattare` VER:fin  
 abburatteresti ( VERB ) lemma=`abburattare` VER:fin  
 abburatterete ( VERB ) lemma=`abburattare` VER:fin  
 abburattero' ( VERB ) lemma=`abburattare` VER:fin  
 abburatterà ( VERB ) lemma=`abburattare` VER:fin  
 abburatterò ( VERB ) lemma=`abburattare` VER:fin  
 abburatti ( VERB ) lemma=`abburattare` VER:fin  
 abburattiamo ( VERB ) lemma=`abburattare` VER:fin  
 abburattiate ( VERB ) lemma=`abburattare` VER:fin  
 abburattin ( VERB ) lemma=`abburattare` VER:fin  
 abburattino ( VERB ) lemma=`abburattare` VER:fin  
 abburatto ( VERB ) lemma=`abburattare` VER:fin  
 abburatto' ( VERB ) lemma=`abburattare` VER:fin  
 abburattò ( VERB ) lemma=`abburattare` VER:fin  
 abdica ( VERB ) lemma=`abdicare` VER:fin  
 abdicai ( VERB ) lemma=`abdicare` VER:fin  
 abdicammo ( VERB ) lemma=`abdicare` VER:fin  
 abdican ( VERB ) lemma=`abdicare` VER:fin  
 abdicando ( NOUN NOUN_GERUND ) lemma=`abdicare` VER:geru  
 abdicano ( VERB ) lemma=`abdicare` VER:fin  
 abdicante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abdicare` VER:ppre  
 abdicanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`abdicare` VER:ppre  
 abdicar ( VERB_INFINITIVE VERB ) lemma=`abdicare` VER:infi  
 abdicare ( VERB_INFINITIVE VERB ) 
 abdicaron ( VERB ) lemma=`abdicare` VER:fin  
 abdicarono ( VERB ) lemma=`abdicare` VER:fin  
 abdicasse ( VERB ) lemma=`abdicare` VER:fin  
 abdicasser ( VERB ) lemma=`abdicare` VER:fin  
 abdicassero ( VERB ) lemma=`abdicare` VER:fin  
 abdicassi ( VERB ) lemma=`abdicare` VER:fin  
 abdicassimo ( VERB ) lemma=`abdicare` VER:fin  
 abdicaste ( VERB ) lemma=`abdicare` VER:fin  
 abdicasti ( VERB ) lemma=`abdicare` VER:fin  
 abdicata ( VERB_PAST_PARTICIPLE VERB ) lemma=`abdicare` VER:ppast  
 abdicate ( VERB_PAST_PARTICIPLE VERB ) lemma=`abdicare`abdicare` VER:fin  VER:ppast  
 abdicati ( VERB_PAST_PARTICIPLE VERB ) lemma=`abdicare` VER:ppast  
 abdicato ( VERB_PAST_PARTICIPLE VERB ) lemma=`abdicare` VER:ppast  
 abdicava ( VERB ) lemma=`abdicare` VER:fin  
 abdicavamo ( VERB ) lemma=`abdicare` VER:fin  
 abdicavan ( VERB ) lemma=`abdicare` VER:fin  
 abdicavano ( VERB ) lemma=`abdicare` VER:fin  
 abdicavate ( VERB ) lemma=`abdicare` VER:fin  
 abdicavi ( VERB ) lemma=`abdicare` VER:fin  
 abdicavo ( VERB ) lemma=`abdicare` VER:fin  
 abdicazione ( NOUN NOUN_SINGULAR ) 
 abdicazioni ( NOUN NOUN_SINGULAR ) lemma=`abdicazione` NOUN  
 abdichera' ( VERB ) lemma=`abdicare` VER:fin  
 abdicherai ( VERB ) lemma=`abdicare` VER:fin  
 abdicheran ( VERB ) lemma=`abdicare` VER:fin  
 abdicheranno ( VERB ) lemma=`abdicare` VER:fin  
 abdicherebbe ( VERB ) lemma=`abdicare` VER:fin  
 abdicherebber ( VERB ) lemma=`abdicare` VER:fin  
 abdicherebbero ( VERB ) lemma=`abdicare` VER:fin  
 abdicherei ( VERB ) lemma=`abdicare` VER:fin  
 abdicheremmo ( VERB ) lemma=`abdicare` VER:fin  
 abdicheremo ( VERB ) lemma=`abdicare` VER:fin  
 abdichereste ( VERB ) lemma=`abdicare` VER:fin  
 abdicheresti ( VERB ) lemma=`abdicare` VER:fin  
 abdicherete ( VERB ) lemma=`abdicare` VER:fin  
 abdichero' ( VERB ) lemma=`abdicare` VER:fin  
 abdicherà ( VERB ) lemma=`abdicare` VER:fin  
 abdicherò ( VERB ) lemma=`abdicare` VER:fin  
 abdichi ( VERB ) lemma=`abdicare` VER:fin  
 abdichiamo ( VERB ) lemma=`abdicare` VER:fin  
 abdichiate ( VERB ) lemma=`abdicare` VER:fin  
 abdichin ( VERB ) lemma=`abdicare` VER:fin  
 abdichino ( VERB ) lemma=`abdicare` VER:fin  
 abdico ( VERB ) lemma=`abdicare` VER:fin  
 abdico' ( VERB ) lemma=`abdicare` VER:fin  
 abdicò ( VERB ) lemma=`abdicare` VER:fin  
 aberra ( VERB ) lemma=`aberrare` VER:fin  
 aberrai ( VERB ) lemma=`aberrare` VER:fin  
 aberrammo ( VERB ) lemma=`aberrare` VER:fin  
 aberran ( VERB ) lemma=`aberrare` VER:fin  
 aberrando ( NOUN NOUN_GERUND ) lemma=`aberrare` VER:geru  
 aberrano ( VERB ) lemma=`aberrare` VER:fin  
 aberrante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`aberrare` VER:ppre  
 aberranti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=`aberrare` VER:ppre  
