##<<SPANISH 
concept: ~numberoperator()
confianza desconfianza
disociar asociar
negar Reclamación
disuadir persuadir
convencer "hablar de"
rostro prohibir
consentimiento disminución
contratar "Contrato en"
disentimiento ceder
concordia discrepar
desaprobar sanción
confrontar evitar
reconocer negar
repudiar afirmar
alabanza desmenuzar
subestimar Hiperbolizar
absolver culpa
ablandar menospreciar
"sacar de engaño" "guiar por la senda incorrecta"
"sonido apagado" alegrarse
silbido aplaudir
bendecir Anatematizar
secularizar consagrar
desobligar acomodar
descanso hacer
"Decir adiós" Bienvenido
condenar descarga
susurro gritar
Contraindicar indicar
"Mantener la boca cerrada" "dejar que el gato fuera de la bolsa"
ofuscar dilucidar
vocalizar Devoción
revisa registrarse
"Reloj hacia fuera" "reloj en"
descifrar codificar
borrar grabar
generalizar particularizar
comunicar excomulgado
abrir abotonar
Descifrar deletrear
"Caer al borde del camino" participar
desmilitarizar construir
movilizar desmovilizar
"hacer las paces" guerra
Reunir "Reunir en"
desmilitarizar militarizar
ganar perder
"quedarse atrás" avanzar
"mantenerse firme" Rendición
defender ataque
"Debajo de" excederse
fusible desactivar
abstenerse consumir
"cenar fuera" "Cenar en"
"dormir afuera" dormir
"morir de hambre" alimentar
biberón amamantar
"estar lleno" "morir de hambre"
soltar corchete
renunciar Agarrar
Desenredar distorsionar
perder "chocar con"
afilar embotar
"poner áspero" Suavizar
extendido plegar
enderezar deformar
desenvolver envolver
enlazar Abrazo
desencadenar cadena
Unstrap Correa
desprenderse adjuntar
desarticular unir
"reunir a" desarticular
despegar adjuntar
desacoplar "Pareja en"
sufijo prefijo
Desenrollar brida
desatar enlazar
Desencadenar latigazo
Desacoplar muelle
degradar Agravar
Deshacer enganche
descubrir cubrir
desabrochar sujetar
cerrar "abrir la cremallera"
abrir bar
abrir cerca
"abrir el cerrojo de" tornillo
tornillo destornillar
Desatar sello
desconectar conectar
desenmascarar máscara
"Sin cadena" cuerda
desenganchar gancho
"sacarse el cinturón" cinturón
Débil grapa
Unclip acortar
desabotonar botón
desprender alfiler
"jalen juntos" distribuir
descomprimir apretarse
desconectar "conectar a"
descorchar Corcho
llevarse transmitir
fuerza fuerza
secuestrar "efectuar la aducción"
enderezar enredar
desarreglar organizar
obstruir desacoplar
Desatascar asfixiar
aflojar atragantarse
eliminar paquete
"quitar el velo" velo
Unbox paquete
Uncrate caja
"descargar a" "peso hacia abajo"
descarga cargar
desuncir yugo
desenjaezar Inspán
desenjaezar aprovechar
"Offsaddle traducción espanol" sillín
"Force back" atraer
apagar encender
desacoplar funcionar
Desenredar entrelazar
Deshilachar entrelazar
Unbraid entretejer
enredo descifrar
Desenredar enredo
devanar enroscarse
desenrollar bobina
función "mal funcionamiento"
"mantenerse a flote" correr
seguir sube
desalojar depositar
tiznar "hacer limpia"
"lavar a maquina" "lavado a mano"
Levántate siéntate
mentira siéntate
mentira Levántate
Desabrochar hebilla
desenvainar envainar
Unwire cable
Deshacer hacer
"reducir progresivamente" "fase en"
Desencarnar encarnar
desmontar Tachuela
desmantelar preparar
"soltar amarras" "Fundido en"
"Juego insuficiente" "actuar de una manera exagerada"
tranquilizar cargar
tranquilizar preocupación
amor detestar
"me gusta" disgusto
humanizar deshumanizar
rechazar atraer
desmoralizar intoxicar
entristecer alegrar
sobrecargar aligerar
desagradar deleite
descontentar satisfacer
descontento contenido
desilusión extasiar
desalentar recrear
desalentar alentar
aburrir interesar
envidiar "deseo bien"
despreciar "admirar a alguien"
"estarse quieto" movimiento
"Permanecer en el lugar" Locomote
sube vete
quedarse movimiento
mudarse mudarse
detener "puesta en marcha"
"ponerse en marcha" detener
Alejarse oleada
hundirse flotador
paseo caminar
"Sin cruz" cruzar
Archivar "presentar en"
salir Aparecer
"salir de un salto" Montar
baja ascender
baja ascender
hundirse sube
"Sacar un tema" reducir
embarcarse desembarcar
acostarse Levántate
Deglicerolizar Glicerolizar
arrancar Progreso
espalda adelantar
preceder seguir
"Salir adelante" llegar
Rematar "tocar fondo"
permanecer "Tomar licencia"
atraer extraer
entra salí
"subir a" bajate
converger divergir
curva enderezar
"Bala de cañón" persistir
disfrutar sufrir
subexponer sobreexponer
sensibilizar desensibilizar
ignorar "darse cuenta"
Desodorizar Odourise
encubrir espectáculo
cerca abierto
desorientar orientar
atención difuminar
Sonar tranquilizarse
afilar ablandar
acidular Edulcorate
tomar dar
perder Espere
vender compra
permitir desperdicios
desheredar legar
exportar importar
subir descargar
rechazar aceptar
"cerrar sesión" "iniciar sesión"
"Pagar menos" "pagar demasiado"
"Predeterminado en" "subir la apuesta"
claro rebotar
débito crédito
Insuficiente "gastar demasiado"
economizar malgastar
Desinvertir invertir
"Tirar por la borda" reivindican
"devolver bienes confiscados" requisar
"Convertir una pérdida" "A su vez un beneficio"
"cubrir los gastos" "A su vez un beneficio"
"Convertir una pérdida" "cubrir los gastos"
perder recuperar
adquirir perder
"ofrecer menos de lo que vale" "licitar más que"
"ofrecer menos de lo que vale" sobrepujar
retirar depositar
"pagar en efectivo" cargar
"cobrar menos" sobrecargar
rebajar margen
Subproducto abarrotar
prestar "pedir prestado"
Unmuzzle bozal
Kern Kern
estribillo movimiento
"tomar posesión del cargo" "dejar la oficina"
entronizar Desinvertir
destronar entronizar
"Patear abajo" "Patada arriba"
contratar "da el saco"
"venir antes" "ven luego"
estancarse trabajo
confinar liberar
evitar permiso
cerrar abrir
"deshacerse de" establecer
desorganizar organizar
Derecognize licencia
incluir excluir
"falta de respeto" acatar
patrocinar boicotear
unir separar
emancipar "privar de derechos civiles"
formalizar invalidar
recordar suministro
Despenalizar Criminalizar
segregar Desagregar
repatriar expatriado
rechazar Permitir
"hacer público" clasificar
Derestrict restringir
Desregular regularizar
compensar incorrecto
portarse "mala conducta"
fallar Negociar
hazlo "tirar de la cadena"
pasar fallar
"ir mal" "trae a casa el tocino"
desobedecer obedecer
aliviar implementar
rehabilitar purga
observar transgredir
representar enjuiciar
Descolonizar colonizar
Terminar empezar
perder asistir
sucumbir "salir adelante"
eliminar necesitar
perder característica
excluir incluir
desacuerdo corresponder
ajustarse desviarse
"diferir de" igual
fuera Adelante
"Conformarse a" "Ir en contra"
"vivir con arreglo a" "faltar de"
desequilibrar equilibrar
discontinuar continuar
ceder "Mantente firme"
resistir "Prestarse a sí mismo"
posfechar Antecede
extinguir encender
repartir tomar
aclarar nublado
"Poco amable" amablemente
insignificantemente significativamente
completamente parcialmente
Imperfectamente perfectamente
mal bien
mal bien
desventajosamente Ventajosamente
insatisfechamente satisfactoriamente
Nunca siempre
"Poco convencional" Convencionalmente
"no más" todavía
raramente frecuentemente
"Con poca frecuencia" frecuentemente
excesivamente razonablemente
Antinaturalmente naturalmente
intencionalmente Circunstancialmente
"en general" específicamente
Desafortunadamente "Como la suerte lo tendría"
Desgraciadamente felizmente
Desgraciadamente Alegremente
"Por máquina" "a mano"
Inaceptablemente Aceptablemente
Maladroptamente Hábilmente
"No por culpa de la vista" "por todos los medios"
indirectamente directamente
Involuntariamente intencionalmente
tranquilamente ruidosamente
adelante "hacia atrás"
adelante "hacia atrás"
abiertamente Secretamente
pasivamente activamente
encima abajo
"En un lugar más alto" "En un lugar más bajo"
Sano Demente
multiplicar individualmente
Teóricamente "Mediante la observación empírica"
Tarde Chop-chop
Inadmisiblemente Permiso
temporalmente permanentemente
Linealmente geométricamente
Inconclusivamente "de una vez por todas"
"En un piso superior" "En un piso inferior"
"contra el viento" "Viento abajo"
"Hacia arriba" "Hacia abajo"
arriba abajo
"río abajo" "río arriba"
"en un grado menor" "En mayor medida"
Menos Más
Tardíamente "Antes de tiempo"
"como máximo" "Al menos"
"En el peor" "En el mejor de los casos"
Irresponsablemente Responsablemente
Excepcionalmente Inédito
"En ese lugar" aquí
allá aquí
"fuera de las puertas" adentro
"fuera de" dentro
"Al grado más bajo" "Al más alto grado"
Inorgánicamente orgánicamente
Extraoficialmente oficialmente
Periféricamente Centralmente
"Por un lado" "por otra parte"
"Sin éxito" exitosamente
"Sin sistemática" sistemáticamente
Inconsistentemente sistemáticamente
Inconstitucionalmente Constitucionalmente
Antidemocráticamente Democráticamente
Atípicamente típicamente
"en primer lugar" Secundariamente
"Sin dramatismo" dramáticamente
Inapropiadamente adecuadamente
"En tierra" "costa afuera"
"Por medios artificiales" naturalmente
Crónicamente extremadamente
Insuficientemente suficientemente
"con vacilación" "Sin vacilar"
"Más allá del control" "En mano"
"por inadvertencia" Advertentemente
Despreocupadamente Advertentemente
Legitimamente Ilegalmente
Incómodamente cómodamente
"en privado" Públicamente
"en público" "en privado"
Aborad Orad
pacientemente Impacientemente
continuamente Vacilantemente
Asimétricamente Simétricamente
ligeramente Intemperadamente
enclenque fuertemente
escasamente ampliamente
"Sin gracia" graciosamente
Inconsideradamente Consideradamente
"Sin ayuda" Útilmente
Irracionalmente racionalmente
"Sin crítica" Críticamente
"Mostrando incompetencia" Competente
"Sin emociones" Emocionalmente
formalmente Informalmente
"centro de la ciudad" "zona residencial"
"Sin entusiasmo" "Con entusiasmo"
Finamente Toscamente
"Sin compasión" "Con simpatía"
"Poco convincente" Convincentemente
Desgraciadamente graciosamente
"Sobre una base irregular" "sobre una base regular"
"En buen orden" incorrectamente
Inconvenientemente Convenientemente
Abstractamente Concretamente
Intrépidamente "con miedo"
"sin esperanza" Ojalá
neciamente Sabiamente
Ingenuamente Inteligentemente
Incomprensiblemente Comprensiblemente
"De forma poco diplomática" Diplomáticamente
incorrectamente correctamente
Incorrectamente precisamente
Injustamente Justificadamente
"con pausa" apresuradamente
Monauralmente "A ambos oídos"
"Sin imaginación" Imaginativamente
Avergonzado "Sin vergüenza"
"Sin emoción" Impresionantemente
Improductivamente Productivamente
Aficionado "Como un experto"
"Sin interés" Curiosamente
Inmoderadamente Moderadamente
"Poco realista" "de modo realista"
irreflexivamente pensativamente
Inausudablemente favorablemente
Descortésamente Cortésmente
desagradablemente agradablemente
Desagradablemente agradablemente
"Sin ambigüedad" ambiguamente
Ceremoniosamente "Sin ceremonias"
"hablando en general" estrechamente
Infielmente fielmente
"No violento" violentamente
Finitamente Infinitamente
pequeña grande
incautamente Cautelosamente
tranquilamente ruidosamente
Inquieto tranquilamente
interiormente externamente
Desfavorablemente favorablemente
Tristemente Alegremente
Involuntariamente voluntariamente
Ineficientemente "Con prontitud"
"por inadvertencia" sabiendas
Injustificadamente Justificadamente
Inmodestamente modestamente
Irresolutamente Resueltamente
"Sin atractivo" Atractivamente
inconscientemente conscientemente
"No competitivo" Competitivamente
Increíblemente Creíblemente
Indecentemente bien
Inusualmente "de rasgo"
externamente internamente
"a priori" posteriormente
Ilegalmente Legalmente
"medio tiempo" "tiempo completo"
multilateralmente Unilateralmente
"agujas del reloj" sinistrórsum
"hacia fuera" "hacia adentro"
"en el escenario" "entre bastidores"
Desagradablemente Atractivamente
"con desaprobación" "con aprobación"
"Sin ambición" Decididamente
amistoso altanero
"Sin alegría" Asertivamente
Inarticuladamente Articuladamente
Inaudiblemente "de modo audible"
sangrientamente "Sin sangre"
Desafortunadamente Apreciativamente
Inusualmente oportunamente
adelante "a popa"
Imprudentemente cautelosamente
"De mala gana" Caballerosamente
"bajo el cinturón" bastante
Incoherentemente Coherentemente
Incompatible Compatibilmente
Quejándose "Sin quejarse"
"Sin compresión" exhaustivamente
Incondicionalmente Condicionalmente
Inconsequentemente importantemente
"Con credibilidad" Incrédulo
Indeciso decisivamente
Poco densamente
Imposiblemente posiblemente
Injustamente merecidamente
"Sin controversia" Controversialmente
Indecoramente Decorosamente
"a regañadientes" Volitivo
ofensivamente Defensivamente
ofensivamente Inofensivamente
Inofensivamente Detrimentalmente
Deshonestamente abiertamente
honradamente Deshonrosamente
Deslealmente Lealmente
Desobedientemente obedientemente
proporcionalmente desproporcionadamente
Reputablemente Descontento
Irrespetuoso respetuosamente
Confidentemente Desconfiado
oeste "del este"
Ineficazmente Eficazmente
Ineficazmente Eficazmente
Desinteresadamente egoístamente
Inelegantemente esmeradamente
Desalentadoramente "en todo alentador"
Desigualmente Equitativamente
"Poco ético" éticamente
Desigualmente igualmente
Irregularmente regularmente
Desigualmente Igualmente
"Sin excitación" Emocionantemente
Imperdonablemente Perdonablemente
Inexpertamente Convenientemente
"A bajo costo" Costoso
Inexpresivamente Expresivamente
"De moda" "a la moda"
Incierto civilmente
Insensible "con emoción"
Infelicitamente felizmente
literalmente figuradamente
Inflexiblemente flexiblemente
Imperdonablemente Indulgente
ruidosamente suavemente
"Muy ruidoso" "Muy suavemente"
triste Alegremente
"A regañadientes" "a regañadientes"
Inhospitably "de modo hospitalario"
Inhumanamente humanamente
"Sin humo" "Con humor"
Antihigiénico Higiénicamente
Indescifrablemente Descifrar
Legitimamente Ilegítimamente
ilógicamente Lógicamente
Inmoralmente Virtuosamente
Penitencialmente "Sin arrepentimiento"
Perceptiblemente Imperceptiblemente
personalmente Impersonalmente
explícitamente implícitamente
Imprecisamente Incisivamente
afortunadamente Improvisadamente
Imprudentemente Providencialmente
Inadecuadamente adecuadamente
Comparativamente incomparablemente
Discretamente Conspicuamente
Indiscretamente Discretamente
"De manera no informativa" Informativamente
oportunamente "A destiempo"
Inseguro "Con seguridad"
Insensible "Con sensibilidad"
Insinceramente "Sin fingimiento"
Intolerantemente Tolerantemente
Intransitivamente Transitivamente
visiblemente Invisible
Relevantemente Irrelevantemente
Reverentemente Irreverentemente
Maduramente Inmaduro
Imprudentemente Juiciosamente
staccato ligado
Inmanejablemente Manejable
Ilusoriamente valientemente
"con malevolencia" Benevolentemente
Mínimamente Máximo
ricamente escasamente
"hasta cierto grado" Inconmensurablemente
Unmelodiously melodiosamente
Inconmovible Inolvidable
sinceramente Mendazamente
Unmusically Musicalmente
"Ampliamente orientado" "Estrecho de mente"
Innecesariamente necesariamente
subjetivamente objetivamente
Discretamente Intrusivamente
"con pesimismo" "con optimismo"
Obligatoriamente Opcionalmente
Impasible Palatablemente
Antipatriótico Patrioticamente
Irreconocible Reconociblemente
"Sin pretensiones" Pretenciosamente
Injustamente Rectamente
Inconscientemente Conscientemente
"Sin sentimientos" Sentimentalmente
Inseparablemente Separadamente
"Sin sorpresa" sonriendo
Insociablemente Sociablemente
Antideportivo "de modo deportivo"
Unromantically Romanticamente
"Sin tacto" "Con tacto"
"Sin sabor" "Con buen gusto"
ligeramente Densamente
Densamente Poco
gramaticalmente "Sin programa"
"Sin precedentes" Precedentemente
Deshonrosamente honradamente
inútilmente Útilmente
Cóncavo Convexo
"Sin dolor" penosamente
Adaxialmente Abaxially
incapaz poder
Adaxial Abaxial
Basiscópico Acroscópico
Aductor Secuestrando
moribundo naciente
Integral reducido
comparativo absoluto
"No absorbente" absorbente
Nonadsorptive "Asimilativo a la superficie"
Adsorbible Absorbible
glotón abstemio
hormigón abstracto
escaso abundante
"Sin aburrir" Maltratado
inaceptable aceptable
inaccesible accesible
Incómodo servicial
incorrecto preciso
"no acostumbrado" acostumbrado
alcalino ácido
Anfiprotico ácido
Anfiprotico alcalino
"Amor alcalino" "Amante de los ácidos"
"No reconocido" admitido
Inaudito codicioso
Basipetal Acropetal
inactivo activo
activo extinto
"de estado" dinámica
pasivo activo
tranquilo activo
potencial existente
crónico agudo
Avirulento virulento
Desadaptativo Adaptativo
"No asignado" fanático
"no adictivo" "Formación de hábitos"
Sustractivo aditivo
"Sin dirección" dirigido
inadecuado adecuado
"No adhesivo" adhesivo
sustantivo procesal
Inaceptable adoptable
"Sin decorar" decorado
Anticolinérgico Colinérgico
desmañado hábil
desventajoso ventajoso
"Poco aventurero" aventurero
desaconsejable aconsejable
"Mal aconsejado" "Bien aconsejado"
Anaerobiótico Aerófilo
Anaeróbico aerobio
Inestético Estético
inafectado afectado
inafectado antinatural
Rechazante Aceptable
encallado "a flote"
"Sin miedo" asustado
"No agresivo" agresivo
"No agitado" agitado
desagradable agradable
Aire-aire "Aire a superficie"
"Superficie a aire" "Aire a superficie"
"Superficie a aire" Aire-aire
Desagradable vigilante
heurístico Algorítmico
inalienable alienable
muerto viva
Écrino Apócrino
Subartesiano artesiano
muerto vivir
Analfabético alfabético
Precocial Altricial
Egocéntrico altruista
Inequívoco ambiguo
"Sin ambición" ambicioso
Emetrópico Ametrópico
Escasamente amplio
Catabólico anabólico
Cataclinal Anaclinal
astigmático anastigmático
Sinclinal anticlinal
Catódromo Anádromo
Diádromo Anádromo
Diádromo Catódromo
Katabatico Anabatico
oral "Anal retentivo"
digital "término análogo"
sintético analítico
sintético Desinflado
Derivacional flexivo
Sincárpico Apocarpous
Unangry enojado
Irrespetuoso resentido
inconsciente sensible
"sin vida" animar
Unánime animado
"No hablado" Animado
inanimado animar
Onymous anónimo
autopsia Antemortem
subsecuente antecedente
Retraducir "Un trato"
terrestre acuático
anfibio acuático
anfibio terrestre
subsiguiente anterior
"sin precedentes" Precedido
"No pretencioso" prensil
Perinatal "Antes del parto"
"Después del parto" "Antes del parto"
"Después del parto" Perinatal
"de sobremesa" Preprandial
"de la posguerra" "de antes de la guerra"
Anterógrado retrógrado
"Después del mediodía" "Antes del meridiano"
posterior anterior
ventral dorsal
Inapelable apelable
"No aprobado" Adjunto
"Poco apetitoso" apetitoso
Inaccesible accesible
inapropiado apropiado
indebido debido
Malapropos "a propósito"
Periférico Apteral
"No arbitrable" Arbitrable
"Sin columna" columnado
"No arboroso" "Árbol de vida"
arcilloso Arenoso
desarmado armado
"Sin armadura" blindado
"Sin brazo" armado
simple ingenioso
inarticulado articular
"Sin hablar" Hablando
"No articulado" Articulado
"Sin vergüenza" avergonzado
Incierto Autoafirmación
"No asociativo" "de asociación"
"no comprometido" comprometido
"Sin fijar" afijo
pedunculado "Sin patas"
Vagos sésil
separado adjunto
despegado atascado
desmontable Adjunto
incauto cauteloso
inatento atento
"no atractivo" atractivo
repulsivo atractivo
"Poco atractivo" atractivo
Impagable atribuible
predicativo atributivo
"no embarazada" embarazada
Insoportable Audible
subsónico Transónico
supersónico Transónico
supersónico subsónico
"poco propicio" propicio
Impropio propicio
"no autorizado" autorizado
inconstitucional constitucional
Alóctonos autóctono
Heterocioso Autoecious
heterogéneo autógeno
manual automático
indisponible disponible
dormido despierto
"No astringente" astringente
ignorante competente
involuntario Ingenio
Desalentador alarmante
Entomófilo anemófilo
"Poco tranquilizador" Tranquilizador
siguiendo líder
"escotado por detrás" Respaldados
"marcha atrás" adelante
Desbalanceado Balcón
"Sin barril" Barrenado
"Sin picos" Pico
"Sin cama" Acostado
Unbeneficed Beneficiado
"Sin estratificar" Estratificado
Fernando Fernada
"Sin césped" herboso
"Sin nervios" Sobresaliente
hirsuto "sin pelo"
"Sin toldo" Toldo
Indiferente cojinete
feo hermosa
feo bonita
"De vientre plano" "Con vientre"
"Sin banda" Atado
"Sin cinturón" ceñido
pernicioso benéfico
Unmalicious malicioso
maligno benigno
peor mejor
Empeorado mejor
Empeoramiento Mejorando
Unicameral bicameral
Unidireccional Bidireccional
"Sin rostro" Enfrentado
Babero Bibbed
multilateral unilateral
Unimodal Bimodal
Monoaural Binaural
Trinucleado Binucleado
Mononucleado Binucleado
Trinucleado Mononucleado
cuadrúpedo "Dos patas"
morena "De pelo claro"
"Sin mancha" Manchado
incruento sangriento
tímido negrita
"Sin consolidar" ligado
Desatado Atado
Desatado pegado
Desenredado enredado
"Sin ordenar" Bordeado
Lentic Lotic
"clase media" "Classe baja"
"clase alta" "Classe baja"
"clase alta" "clase media"
dolicocéfalo braquicéfalo
cobardemente valiente
"Gutless traducción espanol" valeroso
Biberon Amamantado
jadeante respiración
"No cristalino" cristalino
"sin tierras" aterrizado
oscuro ligero
"Sin sombrear" Sombreado
"sin luna" "de luna"
Intransitable Puenteable
aburrido brillante
"Sin dedos" Atenuado
"sin prejuicios" discriminatorio
"de mente estrecha" tolerante
"Sin reconstruir" reconstruido
intacto roto
Hermana "Como un hermano"
Endergónico Exergónico
idéntico fraternal
"Sin enterrar" Enterrado
ocioso ocupado
"sin espinas" Huesudo
Desabrochado Abotonado
socialista capitalista
eufónico cacofónico
incalculable calculable
Tormentoso calma
"Sin focalizar" alcanforado
incapaz capaz
"descuidado por" "preocupo por"
descuidado cuidadoso
herbívoro carnívoro
omnívoro carnívoro
insectívoro carnívoro
omnívoro herbívoro
insectívoro herbívoro
insectívoro omnívoro
Holofítico Holozoico
Acarpeta Carpelo
"Sin alfombra" Alfombrado
Construido "Carvel construido"
"Sin tallar" Tallado
Cataléctico Acatalectic
Hipercataléctico Acatalectic
Hipercataléctico Cataléctico
radical Caulín
"Sin censura" Censurado
Acaudato Caudado
acaule caulescente
"No causativo" causante
incauto cauteloso
"No celular" celular
incoherente coherente
"Sin complicaciones" Compartimentado
"no poroso" Porífero
periférico central
centrípeto centrífugo
eferente aferente
Descentralizando Centralizando
incierto cierto
"No convencido" convencido
tímido confidente
"Sin certificar" certificado
evitable inevitable
Impredecible evitable
Inmutable cambiable
inconmutable conmutable
inalterable alterable
"No modificable" Modificable
"Sin ajustar" equilibrado
inadaptado equilibrado
"Sin alterar" Alterado
"Sin modificaciones" Enmendado
"sin alterar" Cambiado
Isotónico Isométrico
"No ionizado" Ionizado
invariable cambiable
Incaracterístico característica
"Sin carga" cargado
"poco caritativo" Caritativo
"Sin motor" alquilado
"sin dueño" Propiedad
impúdico casto
deprimente alegre
Achlámico Chlamydeous
Acóndrico Condrítico
Triclinico Monoclínico
policromo monocromo
acromático cromático
Insaturado saturado
"Blanco y negro" color
Incoloro "de colores"
"Sin manchas" manchado
incoloro vistoso
oscuro "de color claro"
diatónico cromático
Transmontano Cismontane
anticristiano cristiano
"No civilizado" civilizado
"No clásico" clásico
"Sin clasificar" clasificado
"Sin analizar" analizado
inmundo limpiar
sucio Inobjetable
Contaminando Incontaminante
"No radioactivo" radioactivo
"poco claro" claro
opaco claro
Radiopaco Radiolúcido
confuso "pensamiento claro"
inclemente clemente
estúpido inteligente
cerca lejos
cerca distante
"Sin costura" Primo
desvestido Vestido
Desadaptado Ensillado
nublado claro
interior costero
"costa afuera" "hacia la costa"
incoherente consistente
"No colapsible" plegable
"Sin enojo" cortado
distributivo colectivo
Suprimido Publicitado
inédito publicado
Inédito Publicable
"No declarado" Informado
Irrelevante Reportable
"No combinado" Combinatorio
incombustible combustible
"No explosivo" explosivo
"Sin iluminación" Iluminado
incómodo grande
incómodo cómodo
inconmensurable conmensurar
desproporcionado proporcionado
"No comercial" comercial
"No residencial" residencial
Despedido oficial
"poco común" común
raro usual
Hidrófilo hidrofóbico
Oleófobo Oleófilo
individual común
"poco comunicativo" comunicativo
suelto compacto
incomparable comparable
Indiferente compasivo
incompatible compatible
"No miscible" Miscible
incompetente competente
"no competitivo" competitivo
"Sin quejarse" Quejosa
incompresible compresible
fraccionario todo
mitad todo
"No dedicado" dedicado
incompleto completar
"No comprensivo" exhaustivo
Descompuesto compuesto
incomprensible comprensible
abultado cóncavo
repartido concentrado
"No concentrado" concéntrico
despreocupado preocupado
prolijo conciso
"poco concluyente" concluyente
"Sin consumir" Consumado
Subordinando Coordinando
discordante conforme
expandido contratado
Hipertrofiado disminuido
incondicional condicional
Inaplicable ejecutable
"No forzado" implementado
"no conductor" conductivo
"Sin confinar" confinado
"Sin atestar" "lleno de gente"
incompatible agradable
Incongruente congruente
incongruente congruo
disyuntivo conjuntivo
desunido conjunto
desconectado conectado
inconquistable Conquistador
inconsciente consciente
Profanado consagrado
"Sin sacerdote" Sacerdote
liberal conservador
inconsistente consistente
discreto conspicuo
indiscernible discernible
indistinguible distinguible
inconstante constante
destructivo constructivo
descontento contento
incontestable Contestable
incontinente continente
esporádico continuo
discontinuo ininterrumpido
discontinuo continuo
interrumpido continuado
"sin control" revisado
"nada cotroversial" polémico
"Poco argumentativo" discutidor
inconveniente conveniente
"poco convencional" convencional
convencional nuclear
"No tradicional" tradicional
divergente convergente
"Sin ramificaciones" Ramificado
"Poco convincente" Convincente
crudo cocido
incooperativo cooperativa
incorrupto corrupto
antagonista Sinérgico
insignificante considerable
insubstancial sustancial
inmaterial material
Desabrochado Cuerpo
"Sin brillo" "Lavado cerebral"
incorpóreo corpóreo
incorrecto correcto
incorrecto correcto
"Sin corregir" Corregido
incorregible corregible
provincial cosmopolita
laxante estreñido
Desconsolado estreñido
desconsiderado considerado
descortés cortés
descortés Cortés
incivil Cortés
sideral civil
Creativo originario
increíble creíble
incrédulo crédulo
"no crítico" crítico
"sin juzgar" Juicioso
"no crítico" crítico
"sin cruzar" cruzado
Walleyed bizco
"Sin corona" coronado
"No racial" importante
"No cristalizado" Cristalizado
Unidimensional tridimensional
bidimensional tridimensional
bidimensional Unidimensional
multidimensional Unidimensional
"sin cortar" cortar
incurioso curioso
"No circulante" corriente
bendito maldito
Unendowed Dotado
"Sin cortar" Cortado
confeccionado "hecho a medida"
"hecho a máquina" "Hecho a mano"
"hecho en fábrica" "hecho en casa"
"No cíclico" Cíclico
"Cadena abierta" cíclico
acíclico cíclico
bienal "un año"
perenne "un año"
perenne bienal
nocturno diurno
"No dañado" dañado
"No duradero" Fecha
audición sordo
indecente bueno
indeciso decisivo
interrogativo declarativo
"No declarado" declarado
indecoroso decoroso
"no deducible" deducible
superficial profundo
"de jure" "de facto"
irrevocable anulable
Invicto derrotado
obediente Incumplidor
Indefinido Definido
"Mal definido" "bien definido"
Sufrido derivado
Desinflado Inflexionado
indefinido definido
Indefenso dehiscente
exaltado abatido
escabroso delicado
irrompible quebradizo
"Poco exigente" exigente
suplicante imperativo
"no democrático" democrático
"No arbitrario" arbitrario
"poco efusivo" demostrativo
innegable negable
Connotativo denotativo
"Poco fiable" confiable
independiente dependiente
subordinar independiente
"No partidista" partidista
"No alineado" alineado
preceptivo descriptivo
Indeseable descriptivo
indeseable deseable
Preservado destruido
indestructible Destructible
indeterminable Determinable
indeterminado determinado
subdesarrollado desarrollado
Sinistral Dextral
adiabático Diabético
Indiferenciado diferenciado
fácil difícil
plantígrado Digitigrado
Indigno digno
Unstatesmanlike "Como un estadista"
Unpresidencial presidencial
Monocotiledóneas Dicotiledónea
negligente diligente
"Sin diluir" diluido
Insaturado concentrado
"poco diplomático" Diplomático
antagonista conciliador
indirecto directo
alterno directo
inverso directo
retrógrado directo
mediar inmediato
"Sin discernimiento" perspicaz
indiscreto discreto
indistinto discriminar
Indiscriminado discriminante
"no desechable" desechable
"No retornable" retornable
Proximal Distal
medio Distal
indistinto distinto
Unfocussed Centrado
"No diversificado" diversificado
indivisible divisible
Indocumentado Documentado
sumiso dominador
insumiso servil
subordinar dominante
recesivo dominante
"De doble cañón" "De un solo cañón"
"De un solo pecho" "De pecho doble"
"Poco dramático" dramático
"poco representable" Actable
"No teatral" teatral
Indecoroso potable
sobrio embriagado
agudo aburrido
"sin acontecimientos notables" memorable
vivir morir
aburrido animado
"Sin dinamismo" dinámico
Deshonesto ansioso
"Sin oreja" Oreja
medio temprano
tarde temprano
tarde medio
luego temprano
"no ganado" Ganado
difícil fácil
Oeste este
oriental occidental
Endomórfico Ectomórfico
Mesomórfico Ectomórfico
Mesomórfico Endomórfico
Desagradable comestible
deseducado educado
Innumerable numerar
inoperante operatorio
ineficaz eficaz
fácil Esfuerzo
Ineficaz eficaz
ineficiente eficiente
Ineficaz fuerte
"no elástico" elástico
Nominativo electivo
"Sin asignar" Asignado
obligatorio Opcional
"poco elegante" elegante
inelegible elegible
"Sin emociones" emocional
teórico empírico
aplicado teórico
"Trabajadores por cuenta propia" asalariado
desempleados Empleado
Inempleable Empleable
Desencantado Encantado
desalentador alentador
"Sin trabas" Sobrecargado
Desahuciado Cargado
Exocéntrico Endocéntrico
Exogámico Endógamo
Endógamo Autogama
Exogámico Autogama
"Liberación de energía" "Absorbente de energía"
"Liberación de calor" "Absorbente de calor"
Exógeno endógeno
"ejecutarse en" Terminado
"No enérgico" energético
"Privado de derechos" Emancipado
